3125,1.1250
1.06125,1.1250,1.0625,-1.3125,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
